Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-11-03 17:45:13,dmged,375,2.51270721e-05,79.25,29.5
2021-11-03 17:46:03,dmged,375,2.53275903e-05,83.5,30.0
2021-11-03 17:46:53,dmged,375,2.52607515e-05,83.0,29.75
2021-11-03 17:47:43,dmged,375,2.52458995e-05,82.0,29.75
2021-11-03 17:48:33,dmged,375,2.523476e-05,81.25,29.0
2021-11-03 17:49:23,dmged,375,2.54092829e-05,80.5,29.25
2021-11-03 17:50:13,dmged,375,2.5249612e-05,79.75,29.5
2021-11-03 17:51:03,dmged,375,2.52830305e-05,79.5,30.0
2021-11-03 17:51:53,dmged,375,2.5320167e-05,83.0,29.25
2021-11-03 17:52:43,dmged,375,2.53090257e-05,83.0,28.5
2021-11-03 17:53:33,dmged,375,2.54427014e-05,82.0,29.0
2021-11-03 17:54:23,dmged,375,2.53498711e-05,81.5,29.0
2021-11-03 17:55:13,dmged,375,2.53535854e-05,80.5,29.25
2021-11-03 17:56:03,dmged,375,2.53238777e-05,79.75,29.75
2021-11-03 17:56:53,dmged,375,2.52570389e-05,78.75,29.0
2021-11-03 17:57:44,dmged,375,2.54092829e-05,83.25,29.25
2021-11-03 17:58:34,dmged,375,2.52273312e-05,83.5,29.5
2021-11-03 17:59:24,dmged,375,2.52941718e-05,82.25,29.5
2021-11-03 18:00:14,dmged,375,2.54018578e-05,81.75,29.0
2021-11-03 18:01:04,dmged,375,2.53313065e-05,80.75,29.75
2021-11-03 18:01:54,dmged,375,2.52607515e-05,80.0,29.5
2021-11-03 18:02:44,dmged,375,2.52458995e-05,79.25,30.0
2021-11-03 18:03:34,dmged,375,2.5271891e-05,81.75,29.75
2021-11-03 18:04:24,dmged,375,2.53944308e-05,83.5,29.25
2021-11-03 18:05:14,dmged,375,2.55392479e-05,82.75,29.25
2021-11-03 18:06:04,dmged,375,2.54352781e-05,81.75,29.75
2021-11-03 18:06:54,dmged,375,2.54501301e-05,81.0,28.5
2021-11-03 18:07:44,dmged,375,2.54241368e-05,80.0,28.75
2021-11-03 18:08:34,dmged,375,2.54835486e-05,79.25,29.0
2021-11-03 18:09:24,dmged,375,2.53981416e-05,80.25,29.25
2021-11-03 18:10:14,dmged,375,2.55429604e-05,84.0,29.5
2021-11-03 18:11:04,dmged,375,2.54724091e-05,83.0,29.5
2021-11-03 18:11:54,dmged,375,2.53164508e-05,81.75,29.25
2021-11-03 18:12:44,dmged,375,2.53832895e-05,81.0,29.75
2021-11-03 18:13:34,dmged,375,2.55206814e-05,80.25,29.5
2021-11-03 18:14:24,dmged,375,2.54575571e-05,79.5,29.5
2021-11-03 18:15:14,dmged,375,2.53498711e-05,80.25,29.5
2021-11-03 18:16:04,dmged,375,2.54315619e-05,83.75,30.0
